,Address,State,ProjectKey,ProjectName,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
36,1035 15th st nevada ia 50201,IA ,8387,Nevada CSD Auditorium Addition,High School,NEVADA MIDDLE SCHOOL,464,18000.0,38.793103448275865
321,327 s west st emporia ks 66801,KS ,9207,Emporia Riverside Elementary,Elementary School,RIVERSIDE ELEMENTARY,434,56989.0,131.3110599078341
128,13930 ne 6th st alleman ia 50007,IA ,8106,North Polk New High School,High School,NORTH POLK HIGH SCHOOL,515,129000.0,250.48543689320388
287,301 17th st sw austin mn 55912,MN ,23894,Banfield Elementary Addition & Remodel,Elementary School,BANFIELD ELEMENTARY,422,63000.0,149.28909952606634
545,8800 w 85th st shawnee mission ks 66212,KS ,10300,Sm West High School            Po 763238,High School,SHAWNEE MISSION WEST HIGH,1654,230000.0,139.05683192261185
278,27847 42nd av s auburn wa 98001,WA ,27339,Federal Way Sch Dist-Valhalla Elem    +,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
276,27847 42nd av s auburn wa 98001,WA ,27340,Federal Way Sch Dist-Valhalla Elem,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
277,27847 42nd av s auburn wa 98001,WA ,27342,Federal Way Sch Dist-Valhalla Elem,Elementary School,VALHALLA ELEMENTARY SCHOOL,580,54000.0,93.10344827586206
16,1001 15th st nevada ia 50201,IA ,82840,Nevada HS - Ind. Tech & Agricultural Imp,High School,NEVADA HIGH SCHOOL,464,5760.0,12.413793103448276
422,501 edgewood avenue trenton nj 8618,NJ ,25477,New Cadwalader PreK-8 Center           N,,DAYLIGHT/TWILIGHT HIGH SCHOOL,891,148656.0,166.84175084175084
132,1406 n central ave avondale az 85323,AZ ,16243,Avondale Junior High School,High School,AVONDALE MIDDLE SCHOOL,418,71970.0,172.17703349282297
339,35827 32nd av s auburn wa 98001,WA ,27404,Federal Way Sch Dist-Lakeland Elem     +,Elementary School,LAKELAND ELEMENTARY SCHOOL,427,44703.0,104.69086651053864
540,833 e mesquite ave palm springs ca 92264,CA ,31797,PSUSD - Cahuilla ES #2 Relocation,Academic,CAHUILLA ELEMENTARY,483,43000.0,89.02691511387164
118,1320 nw 75 st seattle wa 98117,WA ,28484,Seattle SD- Whittier Elementary,Elementary School,WHITTIER ELEMENTARY SCHOOL,444,66030.0,148.71621621621622
84,121 hampel rd moscow mills mo 63362,MO ,11074,William Cappel Elementary Additions,Elementary School,WM. R. CAPPEL ELEM.,525,90000.0,171.42857142857142
262,25211 south 68 street firth ne 68358,NE ,2772,"Norris-Firth, NE Elementary Sch Addn",Elementary School,NORRIS INTERMEDIATE SCHOOL,579,18000.0,31.088082901554404
507,7500 e civic cir prescott valley az 86314,AZ ,15771,AAEC Charter H.S. Prescott Valley,High School,ARIZONA AGRIBUSINESS & EQUINE CENTER INC. - PRESCOTT VALLEY,298,33363.0,111.95637583892618
548,900 school st elk river mn 55330,MN ,20872,Elk River High School Addition,High School,ELK RIVER SENIOR HIGH,1738,60000.0,34.52243958573072
229,2200 state st granger ia 50109,IA ,73155,Woodward-Granger Existing ES Renovations,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,23660.0,73.70716510903426
230,2200 state st granger ia 50109,IA ,69563,Woodward-Granger ELC Roof Replacement,Elementary School,WOODWARD-GRANGER EARLY LEARNING CENTER,321,28330.0,88.25545171339564
464,620 sw 4th st forest lake mn 55025,MN ,21045,Central Learning Center Renovation,,FOREST VIEW ELEMENTARY,422,179000.0,424.1706161137441
296,3111 n 10th st marion ia 52302,IA ,81253,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
295,3111 n 10th st marion ia 52302,IA ,81252,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
297,3111 n 10th st marion ia 52302,IA ,81244,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
294,3111 n 10th st marion ia 52302,IA ,81254,Linn-Mar HS Add & Reno Ph 2-Post Const,High School,LINN-MAR HIGH SCHOOL,2226,360000.0,161.72506738544473
43,10750 thunder mountain avenue colorado springs co 80908,CO ,19338,Pine Creek High School Addition,High School,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
42,10750 thunder mountain avenue colorado springs co 80908,CO ,20496,Academy High School #5,High School,PINE CREEK HIGH SCHOOL,1631,162000.0,99.32556713672594
356,3997 e lockwood dr phoenix az 85050,AZ ,14036,PVUSD Elem. #31,Elementary School,WILDFIRE ELEMENTARY SCHOOL,687,67000.0,97.5254730713246
488,701 crown hill rd excelsior springs mo 64024,MO ,10407,Excelsior Springs Middle Sch Humid -Trkg,Middle School,EXCELSIOR SPRINGS MIDDLE,639,98000.0,153.36463223787166
