,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
175,124 n 20th st omaha ne 68102,124 north 20th street omaha ne,0.7196241880742427,72019,72019,Omaha Central High School Addition,Contract,I,High School,CENTRAL HIGH SCHOOL,2830,48500.0,17.137809187279153
176,124 n 20th st omaha ne 68102,124 north 20th street omaha ne,0.7196241880742427,90499,90499,Omaha Central High School Addition,Contract,I,High School,CENTRAL HIGH SCHOOL,2830,50000.0,17.6678445229682
852,500 e parrish st prairie du chien wi 53821,1901 east wells street prairie du chien wi 53821,0.7195698079502051,23963,23963,Prairie DuChien Intermed School,,D,Middle School,PRAIRIE DU CHIEN CORRECTIONAL INST,24,104000.0,4333.333333333333
561,28771 rio norte dr santa clarita ca 91354,28767 w hills dr santa clarita ca 91354,0.7193865546918125,101856,101856,Saugus USD - West Creek Academy,Contract,D,Academic,RIO NORTE JUNIOR HIGH,1243,16944.0,13.631536604987932
562,28771 rio norte dr santa clarita ca 91354,28767 w hills dr santa clarita ca 91354,0.7193865546918125,89412,89412,Saugus USD - West Creek Academy,Contract,D,Academic,RIO NORTE JUNIOR HIGH,1243,16944.0,13.631536604987932
657,3320 mccurry way lincoln nd 58504,3320 mccurry way bismarck nd 58504,0.7189439550045043,11714,11714,Bismarck Lincoln Elementary School,Contract,D,Elementary School,LINCOLN ELEMENTARY SCHOOL,651,76625.0,117.70353302611367
95,1100 main st north bend or 97459,1913 mead north bend or 97459,0.7176785138289048,28951,28951,North Bend SD-Phase 1-PD thru BN (hrly),,D,,HILLCREST ELEMENTARY SCHOOL,462,38400.0,83.11688311688312
16,100 broad street milliken co 80543,p o  box 339 milliken co 80543,0.7174267003959143,20480,20480,Milliken Middle School Addition and Remo,,D,,MILLIKEN ELEMENTARY SCHOOL,617,9500.0,15.39708265802269
283,1520 w rose garden ln phoenix az 85027,2820 w rose garden lane phoenix az 85308,0.7173658947131717,106893,106893,BGHS CTE Culinary Arts,Contract,I,Academic,REID TRADITIONAL SCHOOLS' VALLEY ACADEMY,751,4000.0,5.326231691078562
730,38454 n carolina ave queen creek az 85140,38454 n carolina ave san tan valley az 85140,0.7170982386007219,115717,115717,Ellsworth ES Re-Roof,Contract,A,Elementary School,ELLSWORTH ELEMENTARY SCHOOL,631,67984.0,107.74009508716323
729,38454 n carolina ave queen creek az 85140,38454 n carolina ave san tan valley az 85140,0.7170982386007219,7058,7058,Ellsworth ES Weatherization,Contract,A,Elementary School,ELLSWORTH ELEMENTARY SCHOOL,631,67984.0,107.74009508716323
756,403 s front st humeston ia 50123,mormon trail csd 403 south front street humeston ia 50123,0.7158407005235831,109479,109479,Mormon Trail CSD - Add & Renovation,Contract,A,High School,MORMON TRAIL ELEMENTARY SCHOOL,130,28000.0,215.3846153846154
757,403 s front st humeston ia 50123,mormon trail csd 403 south front street humeston ia 50123,0.7158407005235831,112104,112104,Mormon Trail CSD - Add & Renovation,Contract,A,High School,MORMON TRAIL ELEMENTARY SCHOOL,130,32000.0,246.15384615384616
755,403 s front st humeston ia 50123,mormon trail csd 403 south front street humeston ia 50123,0.7158407005235831,109478,109478,Mormon Trail CSD - Add & Renovation,Contract,A,High School,MORMON TRAIL ELEMENTARY SCHOOL,130,28000.0,215.3846153846154
106,11020 n 28th st phoenix az 85028,11020 n 28th street phoenix az 00000,0.7157827631817321,14431,14431,Desert Cove Elem. School Replacement,Contract,D,Elementary School,DESERT COVE ELEMENTARY SCHOOL,472,72964.0,154.58474576271186
770,414 s 10th st aberdeen sd 57401,314 south main street aberdeen sd 57401,0.7153870000192647,11363,11363,Aberdeen High School,Contract,D,High School,LINCOLN ELEMENTARY - 08,313,230000.0,734.8242811501598
1022,7020 dupont ave n brooklyn center mn 55430,1800 dupont avenue brooklyn park mn 55411,0.7149107775135115,22178,22178,Prairie Seeds Academy,Contract,D,High School,EVERGREEN PARK ELEMENTARY,489,54000.0,110.42944785276073
839,48827 n black canyon hwy phoenix az 85087,48827 north black canyon highway new river az 85087,0.7144367761227104,13649,13649,New River Elem. Master Plan,,D,,NEW RIVER ELEMENTARY SCHOOL,251,40000.0,159.3625498007968
881,502 e watonwan st lake crystal mn 56055,po  box 58 lake crystal mn 56055,0.7142878913546223,24147,24147,Lake Crystal Recreation Center,,D,,LK CRYSTAL WELLCOME MEMORIAL EL,444,44150.0,99.43693693693693
1202,908 3rd street steilacoom wa 98388,54 sentinel drive steilacoom wa 98388,0.7136619138230633,26885,26885,Steilacoom-High School Renov & Addn    +,Revised Contract,D,High School,SALTARS POINT ELEMENTARY,471,31400.0,66.66666666666667
91,110 south circle drive colorado springs co 80910,2560 international circle colorado springs co 80910,0.7128687505182818,20525,20525,Co Springs SD #11-Alternative Prog Fac,,D,,ROGERS ELEMENTARY SCHOOL,353,75000.0,212.46458923512748
950,601 west grant fowler co 81039,po box 218 fowler co 81039,0.7126766606512456,19330,19330,Fowler Elementary School,Contract,D,,FOWLER ELEMENTARY SCHOOL,194,33500.0,172.68041237113403
346,18020 b street east spanaway wa 98387,1820 ' b ' street spanaway wa,0.712626758785415,99544,99544,Bethel-Challenger HS - Phase 1,Revised Contract,A,High School,CHALLENGER HIGH SCHOOL,260,8000.0,30.76923076923077
27,10000 e mcdowell rd scottsdale az 85256,scottsdale az 00000,0.712345159193661,16306,16306,SRP-MIC Education Ctr - Pre-K Educ Ctr,,D,Elementary School,SALT RIVER ACCELERATED LEARNING ACADEMY,62,79727.0,1285.9193548387098
1047,7200 trask ave westminster ca 92683,8251 heil ave westminster ca 92683,0.7121732997131811,88601,88601,OVSD - Westmont ES Modernization,Master Contract,A,Academic,SCHMITT ELEMENTARY,358,32295.0,90.20949720670392
1103,801 e 10th eudora ks 66025,1235 e 2200 rd box l eudora ks 66025,0.7114815256269635,9117,9117,Eudora HS Facility Study,,D,Academic,EUDORA ELEMENTARY SCHOOL,825,1500.0,1.8181818181818181
72,105 grand street trenton nj 8611,117 ferry street trenton nj 08611,0.7110789380686693,25548,25548,Parker Elementary School,Contract,D,Elementary School,INTERNATIONAL CHARTER SCHOOL,90,80812.0,897.9111111111112
1172,8550 charity drive colorado springs co 80920,3475 hampton park drive colorado springs co 80920,0.7089950495180029,93468,93468,Academy Endeavor E.S.,Contract,I,Academic,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,521,196.0,0.3761996161228407
366,18997 highway 59 oakland ia 51560,18997 us59 oakland ia 51560,0.7086358569945352,76651,76651,Riverside CSD New 7-12 School,Contract,D,High School,RIVERSIDE COMMUNITY HIGH SCHOOL,306,103000.0,336.60130718954247
265,14621 heywood st waverly ne 68462,14511 heywood po  box 426 waverly ne 684620426,0.7083851589184396,3206,3206,Hamlow Elem School Remodel,,D,Elementary School,WAVERLY INTERMEDIATE SCHOOL,341,45000.0,131.96480938416423
437,2076 s higley road gilbert az 85236,higley az 85236,0.7079729000691749,13709,13709,Higley K-8 Additional Services-Civil,,D,,WILLIAMS FIELD HIGH SCHOOL,1885,94710.0,50.244031830238725
1112,801 south st gretna ne 68028,gretna ne 680287865,0.7069967568638221,3612,3612,Gretna New Elementary School No. 3,Contract,D,Elementary School,GRETNA ELEMENTARY SCHOOL,531,73000.0,137.4764595103578
989,6500 nicollet ave south richfield mn 55423,7001 harriet avenue south richfield mn 55423,0.7055347616903122,23906,23906,Richfield Senior High School and Bus Gar,,D,,EARLY WONDERS PRESCHOOL PARTNERSHIP,20,351740.0,17587.0
545,2680 mabry dr sacramento ca 95835,corner of mabry dr and maybrook drive sacramento ca 95835,0.7055144701575976,92321,92321,Natomas USD Westlake C.S. K-8 Campus,Contract,I,Academic,WESTLAKE CHARTER,976,84000.0,86.06557377049181
964,620 sw 4th st forest lake mn 55025,943 sw 9th avenue forest lake mn 55025,0.7049284471266701,84960,84960,Forest Lake Southwest Add/Remodeling,Contract,I,,FOREST VIEW ELEMENTARY,422,116410.0,275.8530805687204
461,2159 hwy 18 finlayson mn 55735,61085 state highway 23 east finlayson mn 55735,0.7032766285482662,21261,21261,East Central SD PK-12 Fac A/E & CM Adm,Revised Contract,D,Academic,FINLAYSON ELEMENTARY,75,230562.0,3074.16
205,130 s willow street belle plaine mn 56011,330 south market street belle plaine mn 56011,0.7022811300446727,21745,21745,Belle Plaine Elem. A/E (Oak Crest),Contract,D,Elementary School,BELLE PLAINE TRANSITIONS/WORK EXPER,15,91000.0,6066.666666666667
903,5215 46 ave s seattle wa 98118,8621 46th street seattle wa 98118,0.7018355665287253,28520,28520,Seattle SD - Dunlap Elementary,,D,Elementary School,ORCA K-8 SCHOOL,406,72682.0,179.01970443349754
1196,901 h ave milford ia 51351,1100 8th street milford ia 513510147,0.7014419982948484,7432,7432,Okoboji Elem. Addition/Renovation,,D,,OKOBOJI HIGH SCHOOL,320,14000.0,43.75
1195,901 grand ave little chute wi 54140,1402 freedom road little chute wi 54140,0.6989925206042285,24247,24247,Little Chute High School/Middle School A,,D,Academic,LITTLE CHUTE ELEMENTARY,594,256000.0,430.976430976431
1192,9000 w 165th st overland park ks 66085,6001 w 159th st overland park ks 66085,0.6984497198822283,9131,9131,Blue Valley HS Pools Upgrade,,D,,PLEASANT RIDGE MIDDLE,598,35000.0,58.52842809364549
758,40300 n simonton blvd queen creek az 85140,40300 north simonton boulevard queen creek az 85242,0.6979702881619518,13843,13843,J.O. Combs K-8,,D,Elementary School,KATHRYN SUE SIMONTON ELEMENTARY,422,69263.0,164.13033175355451
597,307 w mary st ottumwa ia 52501,market on main 331 e main street ottumwa ia 52501,0.6979561061783646,121096,121096,Ottumwa CSD - Market on Main,Contract,A,Academic,DOUMA ELEMENTARY SCHOOL,275,11100.0,40.36363636363637
580,300 park st building d gaston or 97119,gaston school district 300 park street ( multiple building ) gaston or 97110,0.6975881401995897,91268,91268,Gaston SD Additions & Remodels,Contract,I,Academic,GASTON JR/SR HIGH SCHOOL,282,66582.0,236.10638297872342
200,12955 aurora ave urbandale ia 50323,webster elementary school 12955 aurora avenue urbandale ia 50322,0.6974941193478224,7836,7836,Webster Elementary School Additions,Contract,D,Elementary School,WEBSTER ELEMENTARY SCHOOL,540,19800.0,36.666666666666664
51,1011 walnut marysville ks 66508,211 south 10th marysville ks 66508,0.6974649202237045,10433,10433,Marysville HVAC/Roof/Locker Room,,D,,MARYSVILLE JR/SR HIGH,397,5000.0,12.594458438287154
289,155 warner st hortonville wi 54944,246 north olk hortonville wi 54944,0.6968228765939827,24283,24283,Hortonville Elementary,,D,Elementary School,HORTONVILLE HIGH,1151,90000.0,78.19287576020851
473,22120 e queen creek rd queen creek az 85142,37611 n pecan creek drive queen creek az 85242,0.6966013634630177,14014,14014,J.O. Combs Middle School,Revised Contract,D,Middle School,BENJAMIN FRANKLIN CHARTER SCHOOL - CRISMON,712,96670.0,135.77247191011236
118,11221 northridge drive gretna ne 68028,squire john thomas elementary 11221 northridge drive gretna ne 680287865,0.6962430599273944,3617,3617,Gretna Elem Sch Ph 2 Remodeling,Revised Contract,D,Elementary School,SQUIRE JOHN THOMAS ELEMENTARY,638,63000.0,98.74608150470219
1073,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14389,14389,Peoria USD IMT Training Facility,Revised Contract,D,,PEORIA FLEX ACADEMY,116,5340.0,46.03448275862069
1071,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14380,14380,Peoria USD Dist Cntr & Facs Maint Cntr,Contract,D,,PEORIA FLEX ACADEMY,116,80017.0,689.801724137931
1067,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14371,14371,Peoria S.D. Bus Maintenance Facility,Contract,D,,PEORIA FLEX ACADEMY,116,12225.0,105.38793103448276
1068,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14388,14388,Peoria USD IMT Training Facility,Revised Contract,D,,PEORIA FLEX ACADEMY,116,2728.0,23.517241379310345
1074,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14390,14390,Peoria USD IMT Training Facility,Contract,D,,PEORIA FLEX ACADEMY,116,5340.0,46.03448275862069
1070,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14382,14382,Peoria USD Distribution Center,Contract,D,,PEORIA FLEX ACADEMY,116,36078.0,311.01724137931035
1069,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14373,14373,Peoria USD Transportation Admin Bldg,Contract,D,Office,PEORIA FLEX ACADEMY,116,18537.0,159.80172413793105
1072,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14376,14376,Peoria USD Bus Maint Addtn-Bus Parking,Contract,D,,PEORIA FLEX ACADEMY,116,18537.0,159.80172413793105
1075,7565 w peoria ave ste a peoria az 85345,loop 101 freeway and west peoria avenue peoria az,0.6947324766281149,14387,14387,Peoria USD Fac. Maint. Center,Revised Contract,D,,PEORIA FLEX ACADEMY,116,9496.0,81.86206896551724
919,5625 n 28th avenue omaha ne 68111,2625 north 28th street omaha ne 681112425,0.6947049102562323,2730,2730,Miller Park Elem Sch Fire Protection,,D,,MILLER PARK ELEM SCHOOL,429,42201.0,98.37062937062937
1031,7111 aurora ave urbandale ia 50322,7110 prairie avenue urbandale ia 50322,0.6944463689061405,106319,106319,Urbandale CSD New ES - Bond Support,Contract,D,Elementary School,URBANDALE HIGH SCHOOL,1326,100000.0,75.41478129713424
1030,7111 aurora ave urbandale ia 50322,7110 prairie avenue urbandale ia 50322,0.6944463689061405,106330,106330,Urbandale CSD New ES - Bond Support,Contract,D,Elementary School,URBANDALE HIGH SCHOOL,1326,100000.0,75.41478129713424
1033,7111 aurora ave urbandale ia 50322,7110 prairie avenue urbandale ia 50322,0.6944463689061405,106318,106318,Urbandale CSD New ES - Bond Support,Contract,D,Elementary School,URBANDALE HIGH SCHOOL,1326,100000.0,75.41478129713424
1034,7111 aurora ave urbandale ia 50322,7110 prairie avenue urbandale ia 50322,0.6944463689061405,95515,95515,Urbandale CSD New ES - Bond Support,Contract,D,Elementary School,URBANDALE HIGH SCHOOL,1326,100000.0,75.41478129713424
1032,7111 aurora ave urbandale ia 50322,7110 prairie avenue urbandale ia 50322,0.6944463689061405,106333,106333,Urbandale CSD New ES - Bond Support,Contract,D,Elementary School,URBANDALE HIGH SCHOOL,1326,100000.0,75.41478129713424
737,39808 n gavilan peak pkwy anthem az 85086,40404 north gavilan peak parkway anthem az 85086,0.6940065369917793,13860,13860,DVUSD High School No. Five,Contract,D,High School,GREAT HEARTS ACADEMIES - ANTHEM PREP,802,306858.0,382.6159600997506
965,6201 noble avenue north brooklyn center mn 55429,9100 93rd avenue north brooklyn center mn 55455,0.6938005310632548,21043,21043,St Vincent DePaul Education Center,,D,,NOMPENG ACADEMY,347,54000.0,155.61959654178673
546,2700 w 6th ave el dorado ks 67042,124 w central el dorado ks 67042,0.6936070723969844,9946,9946,El Dorado USD 490 - Elementary School,Contract,D,Elementary School,CIRCLE OIL HILL ELEMENTARY,258,71756.0,278.1240310077519
1180,8804 hwy 45 nw parkville mo 64152,7277 nw highway 9 parkville mo 64152,0.6935421398404239,10866,10866,St. Therese Educational Center,Revised Contract,D,,GRADEN ELEM.,508,96000.0,188.9763779527559
591,303 south street springfield vt 5156,14801 south 108th street springfield ne,0.6929733954061006,81238,81238,Platteview HS Locker Room Renov DD-CS,Contract,D,High School,SPRINGFIELD HIGH SCHOOL,364,7500.0,20.604395604395606
656,3305 92nd st urbandale ia 50322,valerius elementary school 3305 92nd street urbandale ia 50322,0.6916938865328511,119607,119607,Urbandale ES #2 - FF&E,Contract,A,Elementary School,VALERIUS ELEMENTARY SCHOOL,287,118000.0,411.1498257839721
1008,700 4th st nw montgomery mn 56069,101 second street ne 700 fourth street nw montgomery mn 56069,0.6912800280449855,56864,56864,Tri-City United Schools Cx Services,,D,Academic,TRI-CITY UNITED HIGH SCHOOL,547,279000.0,510.054844606947
1007,700 4th st nw montgomery mn 56069,101 second street ne 700 fourth street nw montgomery mn 56069,0.6912800280449855,56865,56865,Tri-City United Schools Cx Services,,D,Academic,TRI-CITY UNITED HIGH SCHOOL,547,279000.0,510.054844606947
107,1105 lee drive baton rouge la 70808,5601 upton drive baton rouge la 70809,0.6907635400125948,113694,113694,Jefferson Terrace K-8 School,Contract,A,Elementary School,LEE HIGH SCHOOL,1107,125000.0,112.91779584462512
122,1130 7th street north minneapolis mn 55411,1315 lowry avenue north minneapolis mn 55411,0.6902813533242761,20941,20941,North Regional Library,,D,Library,BANAADIR ACADEMY,140,32000.0,228.57142857142858
957,610 w f st joplin mo 64802,2104 indiana ave joplin mo 64801,0.6901699413450251,11286,11286,Joplin High School,Revised Contract,D,High School,COLUMBIA ELEM.,206,487937.0,2368.626213592233
248,140 s gilbert rd gilbert az 85296,4068 east pecos road gilbert az 85296,0.6901165147482845,14175,14175,Higley H.S. Performing Arts Center,Contract,D,,GILBERT GLOBAL ACADEMY 7-12,130,38000.0,292.3076923076923
204,130 s willow street belle plaine mn 56011,220 south market street belle plaine mn 56011,0.689330499866165,21743,21743,Belle Plaine Public Schools,Contract,D,Study,BELLE PLAINE TRANSITIONS/WORK EXPER,15,136428.0,9095.2
203,130 s willow street belle plaine mn 56011,220 south market street belle plaine mn 56011,0.689330499866165,21756,21756,Belle Plaine High School Fields A/E,Contract,D,Athletic Field,BELLE PLAINE TRANSITIONS/WORK EXPER,15,95000.0,6333.333333333333
537,2616 e greenway rd phoenix az 85032,5601 east greenway road phoenix az 85254,0.689296079830226,14152,14152,PVUSD Horizon H.S. Fire Alarm,Contract,D,,CRESTVIEW COLLEGE PREPARATORY HIGH SCHOOL,274,260000.0,948.9051094890511
465,2201 east dry creek road centennial co 80122,2201 east dry creek road littleton co 80122,0.6881087579698447,20500,20500,Arapahoe High School  - Littleton Public,,D,,ARAPAHOE HIGH SCHOOL,2157,149691.0,69.39777468706536
298,1602 may st hood river or 97031,po  box 920 hood river or 97031,0.6868233706989961,28833,28833,Hood River SD,,D,,HOOD RIVER MIDDLE SCHOOL,580,40300.0,69.48275862068965
721,3800 pleasant ave minneapolis mn 55409,one delasalle drive minneapolis mn 55401,0.6864046826627794,21042,21042,DeLaSalle High School Gym Addition,,D,,HIAWATHA COLLEGE PREP - KINGFIELD,352,7400.0,21.022727272727273
971,625 l st patterson ca 95363,510 keystone blvd  patterson ca 95363,0.685992758255043,72280,72280,Patterson High School CTE Building,Contract,D,Academic,NORTHMEAD ELEMENTARY,632,9840.0,15.569620253164556
252,1403 w linden ave independence mo 64052,2101 n twyman rd independence mo 64058,0.685448106232622,11305,11305,Fort Osage Controls Project,Contract,D,Academic,PROCTER ELEM.,259,1.0,0.003861003861003861
451,211 west 6th street loveland co 80537,1811 w 15th street suite a loveland co 80537,0.6848726988844628,100937,100937,TSD CTEC Ferguson HS Reno and Remodel,Notice to Proceed,A,Academic,TRUSCOTT ELEMENTARY SCHOOL,231,60181.0,260.5238095238095
241,135 n lake st los angeles ca 90026,1200 w colton street los angeles ca 90026,0.6847049816213168,31010,31010,Lausd-Clahs #11-New Building,Contract,D,Academic,LAKE STREET PRIMARY,173,472352.0,2730.35838150289
439,208 west 1st ault co 80610,210 west first street ault co 80610,0.6836394663907683,79808,79808,Ault School Improvements,Contract,D,Academic,HIGHLAND HIGH SCHOOL,285,42000.0,147.3684210526316
782,424 w 500 n valparaiso in 46385,1855 w harrison valparaiso in 463841475,0.6823203711465018,12895,12895,St. Paul Ed Center,Revised Contract,D,,JOHN SIMATOVICH ELEMENTARY SCHOOL,235,60000.0,255.31914893617022
528,25211 south 68 street firth ne 68358,norris public school campus 25211 south 68th street firth ne 68358,0.6814190359319583,5519,5519,Norris New Elementary School,Contract,D,Elementary School,NORRIS INTERMEDIATE SCHOOL,579,67239.0,116.12953367875647
594,306 s 14th st nebraska city ne 68410,411 5th rue nebraska city ne,0.6813840702492349,4172,4172,Nebraska City Lourdes Elem Sch Addn,Contract,D,Middle School,HAYWARD ELEMENTARY SCHOOL,333,12000.0,36.03603603603604
1063,7500 mission rd shawnee mission ks 66208,south=5800 w 107th st ; east=7500 mission rd ; indian cr=4401 w 103rd st shawnee mission ks 66208,0.6810303661054304,10361,10361,Shawnee Mission South/SM East/Indian Cr,,D,,SHAWNEE MISSION EAST HIGH,1779,393558.0,221.22428330522766
440,210 e avenue a hutchinson ks 67501,whiteside street & w fourth avenue hutchinson ks 67504,0.68098596933706,9643,9643,Hutchinson SSC Addition,Contract,D,,HUTCHINSON MIDDLE SCHOOL 7,327,9900.0,30.275229357798164
300,1605 7th st marysville wa 98270,getchell hill marysville wa 98270,0.6806325027604881,26961,26961,Marysville High School,No Revised Contract,D,,TOTEM MIDDLE SCHOOL,561,190000.0,338.68092691622104
11,1 n state st chicago il 60602,polk and state chicago il,0.6800826682625069,46898,46898,Jones College Prep AOR - PBC,,D,High School,NOBLE ST CHTR-MUCHIN COLLEGE PREP,972,240000.0,246.91358024691357
10,1 n state st chicago il 60602,polk and state chicago il,0.6800826682625069,46897,46897,William Jones College Preparatory High S,,D,High School,NOBLE ST CHTR-MUCHIN COLLEGE PREP,972,240000.0,246.91358024691357
169,1225 west summit street norwood co 81423,norwood co 81423,0.6797924661730854,20530,20530,Norwood School Building,,D,,NORWOOD PUBLIC SCHOOLS,199,29630.0,148.89447236180905
707,3650 w school st chicago il 60618,bennett day school  1 chicago il 60614,0.679762795270881,12785,12785,Bennett Day School #1,NC - Cancelled,D,Elementary School,REILLY ELEM SCHOOL,762,35000.0,45.93175853018373
706,3650 w school st chicago il 60618,bennett day school  1 chicago il 60614,0.679762795270881,12786,12786,Bennett Day School #1,NC - Cancelled,D,Elementary School,REILLY ELEM SCHOOL,762,35000.0,45.93175853018373
705,3650 w school st chicago il 60618,bennett day school  1 chicago il 60614,0.679762795270881,12784,12784,Bennett Day School #1                  N,NC - Cancelled,D,Elementary School,REILLY ELEM SCHOOL,762,35000.0,45.93175853018373
149,1200 trojan dr osawatomie ks 66064,1901 parker ave osawatomie ks 66064,0.6795840804598442,10238,10238,Swenson  ECC at Trojan Elementary School,Revised Contract,D,Elementary School,OSAWATOMIE HIGH,323,13260.0,41.05263157894737
198,12850 nw main st banks or 97106,12950 south main street banks or 97106,0.6787489716144215,29893,29893,Banks SD Middle School Addition/Remodel,Contract,D,Middle School,BANKS MIDDLE SCHOOL,254,32820.0,129.21259842519686
1246,spring creek rte st francis sd 57572,350 south oak street st francis sd 57572,0.678595365353244,11453,11453,St Francis Indian Sch K-12 Fac Imprv,Contract,D,High School,SPRING CREEK ELEMENTARY - 07,52,60000.0,1153.8461538461538
361,18521 se river rd milwaukie or 97267,14211 se johnson road milwaukie or 97267,0.6777852620583605,84457,84457,NCSD Sabin CTE,Contract,I,High School,JENNINGS LODGE ELEMENTARY SCHOOL,168,75856.0,451.5238095238095
517,2500 la jolla st west sacramento ca 95691,s/w corner of stonegate drive and la jolla drive west sacramento ca 95691,0.6777481938344342,31298,31298,WUSD Elementary School #9,Contract,D,Academic,STONEGATE ELEMENTARY,890,58000.0,65.1685393258427
100,11009 284th street chisago city mn 55013,11754 302nd street chisago city mn 55013,0.6773617654495478,20920,20920,Chisago Lake Library,,D,Library,CHISAGO LAKES FAMILY CENTER,46,12000.0,260.8695652173913
571,30 county road b e maplewood mn 55117,john glenn middle school 1560 east county road b maplewood mn 55119,0.6772249181862443,22082,22082,No. St. Paul-#622 John Glenn MS Renov,Master Contract,D,Middle School,HARAMBEE ELEMENTARY SCHOOL,319,64303.0,201.576802507837
805,440 n 10th st blair ne 68008,440 north 10th street po  box 288 blair ne 680080288,0.6762296651414547,5952,5952,Blair Community Schools-High Sch Expn,,D,,BLAIR HIGH SCHOOL,708,10000.0,14.124293785310735
585,3000 parker ave west palm beach fl 33405,west palm beach fl 00000,0.6747913750697748,18589,18589,Boynton Beach Middle School,,D,,BELVEDERE ELEMENTARY SCHOOL,601,176155.0,293.10316139767053
753,4021 thomas avenue north minneapolis mn 55412,2131 twelfth avenue north minneapolis mn 55411,0.6741354499791535,24105,24105,Lincoln Elementary,,D,Elementary School,MASTERY SCHOOL,195,68000.0,348.71794871794873
853,500 e parrish st prairie du chien wi 53821,800 east crawford street prairie du chien wi 53821,0.674090467848445,23969,23969,Prairie Du Chien-Senior High Remodel,,D,High School,PRAIRIE DU CHIEN CORRECTIONAL INST,24,14000.0,583.3333333333334
925,5709 ninth st keyes ca 95328,5680 7th st keyes ca 95328,0.6736193264499211,71371,71371,Keyes USD - Keyes E.S. Modernization,Contract,D,Academic,KEYES TO LEARNING CHARTER,343,20000.0,58.309037900874635
924,5709 ninth st keyes ca 95328,5680 7th st keyes ca 95328,0.6736193264499211,71704,71704,Keyes USD District Office,Contract,D,Academic,KEYES TO LEARNING CHARTER,343,2880.0,8.396501457725947
538,2623 nw sierra st camas wa 98607,2623 nw sierra street camas wa 00000,0.6735710149136835,28481,28481,JDZ Middle School Remodel - Camas Middle,,D,,DOROTHY FOX,498,64170.0,128.85542168674698
24,1000 miller ranch road edwards co 81632,1000 miller ranch road po  box 1416 edwards co 816621416,0.6733923702014459,20469,20469,Edwards Middle School  (Berry Creek Midd,,D,,BERRY CREEK MIDDLE SCHOOL,280,80400.0,287.14285714285717
42,101 lawrence avenue lawrence ks 66049,2910 haskell ave lawrence ks 66046,0.6711383406617294,68688,68688,Lawrence College & Career Center,No Contract,D,High School,DEERFIELD ELEM,481,33000.0,68.60706860706861
254,14055 orchid ave rogers mn 55374,21201 church ave rogers mn 55374,0.6710190145687157,22842,22842,Mary Queen of Peace - Fellowship Hall  N,Contract,D,Study,HASSAN ELEMENTARY,721,27000.0,37.447988904299585
862,500 s james st grimes ia 50111,2555 west 1st street grimes ia 50111,0.6700415373758704,8678,8678,DCG MS Fire Pump Room,Contract,D,Middle School,SOUTH PRAIRIE ELEMENTARY,485,150.0,0.30927835051546393
860,500 s james st grimes ia 50111,2555 west 1st street grimes ia 50111,0.6700415373758704,8675,8675,DCG Middle School Commissioning,Contract,D,,SOUTH PRAIRIE ELEMENTARY,485,94100.0,194.02061855670104
861,500 s james st grimes ia 50111,2555 west 1st street grimes ia 50111,0.6700415373758704,8669,8669,Dallas Center-Grimes New Middle School,Contract,D,Middle School,SOUTH PRAIRIE ELEMENTARY,485,95000.0,195.8762886597938
1000,6720 nw 64th st kansas city mo 64151,7202 nw highway 9 kansas city mo 64152,0.669455686399751,10870,10870,St. Therese K-8 Master Plan,,D,,LAKEVIEW MIDDLE,688,96000.0,139.53488372093022
986,650 125th ave ne blaine mn 55434,650 ne main street blaine mn 554343199,0.6688646519526746,21201,21201,AH ISD - Roosevelt Middle School,,D,,ROOSEVELT MIDDLE,886,4380.0,4.943566591422122
381,19401 se 1st street camas wa 98607,26900 se 15th street camas wa 98607,0.6683068988675862,28439,28439,Camas School District High School Remode,,D,,ILLAHEE ELEMENTARY SCHOOL,566,162061.0,286.32685512367493
664,335 long branch ave long branch nj 7740,391 westwood ave long branch nj 07740,0.6680238166641899,25600,25600,LB Alt School - Redesign,Contract,D,,LENNA W. CONROW ELEMENTARY SCHOOL,357,85000.0,238.0952380952381
665,335 long branch ave long branch nj 7740,391 westwood ave long branch nj 07740,0.6680238166641899,25596,25596,LB Alt School,Contract,D,,LENNA W. CONROW ELEMENTARY SCHOOL,357,85000.0,238.0952380952381
