,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
380,1938 e apache blvd tempe az 85281,1938 e apache blvd tempe az 85281,1.0,111230,111230,MCRSD - Esperanza Prep Academy Study,Contract,I,Academic,ESPERANZA PREP,85,1855.0,21.823529411764707
130,11375 sw center st beaverton or 97005,11375 sw center st beaverton or 97005,1.0,77979,77979,Beaverton SD ACMA,Contract,D,Academic,ARTS AND COMMUNICATION MAGNET ACADEMY,706,75900.0,107.5070821529745
201,130 alameda ave tacoma wa 98466,130 alameda ave tacoma wa 98466,1.0,86540,86540,Wainwright Elementary Phase 1 SD+,Contract,D,Elementary School,WAINWRIGHT,502,65000.0,129.4820717131474
181,125 sunset rd limerick pa 19468,125 sunset rd limerick pa 19468,1.0,16592,16592,SFASD - New ES at Winnie's Site,Contract,D,,EVANS EL SCH,581,90000.0,154.9053356282272
332,17801 grand avenue omaha ne 68116,17801 grand avenue omaha ne 68116,1.0,5378,5378,Elkhorn Grand View New Middle School #4,Contract,D,Academic,ELKHORN GRANDVIEW MIDDLE SCHOOL,663,118800.0,179.18552036199094
329,1750 piros drive colorado springs co 80915,1750 piros drive colorado springs co 80915,1.0,20364,20364,Horizon M.S. - ADA Upgrades,Contract,D,Middle School,HORIZON MIDDLE SCHOOL,769,1015.0,1.319895968790637
899,520 milford street salida co 81201,520 milford street salida co 81201,1.0,20536,20536,Salida New Middle School,,D,,SALIDA MIDDLE SCHOOL,372,56175.0,151.00806451612902
141,11940 sw lynnfield ln portland or 97225,11940 sw lynnfield ln portland or 97225,1.0,73841,73841,Beaverton SD William Walker,Contract,D,Elementary School,WILLIAM WALKER ELEMENTARY SCHOOL,519,88400.0,170.32755298651253
132,11411 s eggleston ave chicago il 60628,11411 s eggleston ave chicago il 60628,1.0,716,716,CPS Haley Elementary School Renovations,Contract,D,Elementary School,HALEY ELEM ACADEMY,516,64000.0,124.03100775193798
1086,7733 se raymond st portland or 97206,7733 se  raymond st portland or 97206,1.0,61510,61510,Portland Public Schools - Marysville K-8,,D,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
